time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
22861,created,448416,448416,4,22863,22866,16,0,0,0,0
22861,picked,2,448416,4,22863,22866,16,0,0,0,0
22861,executing,2,448416,4,22863,22866,16,0,0,0,16
22862,created,686778,686778,1,22864,22867,37,0,0,0,16
22862,picked,1,686778,1,22864,22867,37,0,0,0,16
22862,executing,1,686778,1,22864,22867,37,0,0,0,53
22862,created,339005,339005,2,22866,22869,30,0,0,0,53
22862,picked,0,339005,2,22866,22869,30,0,0,0,53
22862,executing,0,339005,2,22866,22869,30,0,0,0,83
22863,created,745133,745133,3,22864,22867,24,0,0,0,83
22863,finished,1,686778,1,22864,22867,37,0,0,0,83
22863,picked,1,745133,3,22864,22867,24,0,0,0,83
22863,executing,1,745133,3,22864,22867,24,0,0,0,107
22863,created,510108,510108,3,22867,22872,68,0,0,0,107
22864,created,505632,505632,4,22866,22868,43,0,0,0,107
22864,created,139033,139033,10,22868,22870,20,0,0,0,107
22864,finished,0,339005,2,22866,22869,30,0,0,0,107
22864,picked,0,510108,3,22867,22872,68,0,0,0,107
22864,executing,0,510108,3,22867,22872,68,1,0,0,175
22865,created,739173,739173,6,22866,22870,27,1,0,0,175
22865,created,896946,896946,2,22866,22868,74,1,0,0,175
22865,finished,2,448416,4,22863,22866,16,1,0,0,175
22865,picked,2,896946,2,22866,22868,74,1,0,0,175
22865,executing,2,896946,2,22866,22868,74,1,0,0,249
22866,created,420703,420703,6,22867,22872,28,1,0,0,249
22866,finished,1,745133,3,22864,22867,24,1,0,0,249
22866,picked,1,505632,4,22866,22868,43,1,0,0,249
22866,executing,1,505632,4,22866,22868,43,3,0,0,292
22866,created,157441,157441,4,22869,22874,96,3,0,0,292
22867,created,782741,782741,3,22868,22873,68,3,0,0,292
22867,finished,0,510108,3,22867,22872,68,3,0,0,292
22867,picked,0,157441,4,22869,22874,96,3,0,0,292
22867,executing,0,157441,4,22869,22874,96,4,0,0,388
22867,created,993276,993276,8,22871,22873,79,4,0,0,388
22867,finished,2,896946,2,22866,22868,74,4,0,0,388
22867,picked,2,993276,8,22871,22873,79,4,0,0,388
22867,executing,2,993276,8,22871,22873,79,4,0,0,467
22868,created,658401,658401,5,22873,22876,61,4,0,0,467
22868,created,784250,784250,7,22872,22877,13,4,0,0,467
22869,created,675515,675515,7,22871,22876,40,4,0,0,467
22869,created,575115,575115,6,22870,22875,79,4,0,0,467
22870,finished,1,505632,4,22866,22868,43,4,0,0,467
22870,picked,1,575115,6,22870,22875,79,4,0,0,467
22870,executing,1,575115,6,22870,22875,79,5,0,0,546
22870,created,888894,888894,8,22873,22876,57,5,0,0,546
22870,created,743476,743476,2,22871,22873,42,5,0,0,546
22871,created,773510,773510,6,22876,22881,20,5,0,0,546
22871,finished,0,157441,4,22869,22874,96,5,0,0,546
22871,missed,-1,782741,3,22868,22873,68,5,0,0,546
22871,picked,0,658401,5,22873,22876,61,5,1,1,546
22871,executing,0,658401,5,22873,22876,61,8,1,1,607
22875,finished,2,993276,8,22871,22873,79,8,1,1,607
22875,missed,-1,888894,8,22873,22876,57,8,1,1,607
22875,missed,-1,675515,7,22871,22876,40,8,2,2,607
22875,missed,-1,420703,6,22867,22872,28,8,3,3,607
22875,missed,-1,739173,6,22866,22870,27,8,4,4,607
22875,picked,2,773510,6,22876,22881,20,8,5,5,607
22875,executing,2,773510,6,22876,22881,20,12,5,5,627
22876,finished,1,575115,6,22870,22875,79,12,5,5,627
22876,missed,-1,743476,2,22871,22873,42,12,5,5,627
22876,missed,-1,139033,10,22868,22870,20,12,6,6,627
22876,missed,-1,784250,7,22872,22877,13,12,7,7,627
22876,finished,0,658401,5,22873,22876,61,12,8,8,627
22881,finished,2,773510,6,22876,22881,20,12,8,8,627
