time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
22941,created,789200,789200,4,22943,22946,16,0,0,0,0
22941,picked,0,789200,4,22943,22946,16,0,0,0,0
22941,executing,0,789200,4,22943,22946,16,0,0,0,16
22942,created,635969,635969,1,22944,22947,37,0,0,0,16
22942,picked,1,635969,1,22944,22947,37,0,0,0,16
22942,executing,1,635969,1,22944,22947,37,0,0,0,53
22942,created,7598,7598,2,22946,22949,30,0,0,0,53
22942,picked,2,7598,2,22946,22949,30,0,0,0,53
22942,executing,2,7598,2,22946,22949,30,0,0,0,83
22943,created,803443,803443,3,22944,22947,24,0,0,0,83
22943,finished,1,635969,1,22944,22947,37,0,0,0,83
22943,picked,1,803443,3,22944,22947,24,0,0,0,83
22943,executing,1,803443,3,22944,22947,24,0,0,0,107
22943,created,456773,456773,3,22947,22952,68,0,0,0,107
22944,created,163736,163736,4,22946,22948,43,0,0,0,107
22944,created,374374,374374,10,22948,22950,20,0,0,0,107
22944,finished,2,7598,2,22946,22949,30,0,0,0,107
22944,picked,2,456773,3,22947,22952,68,0,0,0,107
22944,executing,2,456773,3,22947,22952,68,1,0,0,175
22945,created,33472,33472,6,22946,22950,27,1,0,0,175
22945,created,321117,321117,2,22946,22948,74,1,0,0,175
22945,finished,0,789200,4,22943,22946,16,1,0,0,175
22945,picked,0,321117,2,22946,22948,74,1,0,0,175
22945,executing,0,321117,2,22946,22948,74,1,0,0,249
22946,created,576282,576282,6,22947,22952,28,1,0,0,249
22946,finished,1,803443,3,22944,22947,24,1,0,0,249
22946,picked,1,163736,4,22946,22948,43,1,0,0,249
22946,executing,1,163736,4,22946,22948,43,3,0,0,292
22946,created,742992,742992,4,22949,22954,96,3,0,0,292
22947,created,116856,116856,3,22948,22953,68,3,0,0,292
22947,finished,2,456773,3,22947,22952,68,3,0,0,292
22947,picked,2,742992,4,22949,22954,96,3,0,0,292
22947,executing,2,742992,4,22949,22954,96,4,0,0,388
22947,created,635452,635452,8,22951,22953,79,4,0,0,388
22947,finished,0,321117,2,22946,22948,74,4,0,0,388
22947,picked,0,635452,8,22951,22953,79,4,0,0,388
22947,executing,0,635452,8,22951,22953,79,4,0,0,467
22948,created,392726,392726,5,22953,22956,61,4,0,0,467
22948,created,793989,793989,7,22952,22957,13,4,0,0,467
22949,created,908629,908629,7,22951,22956,40,4,0,0,467
22949,created,14771,14771,6,22950,22955,79,4,0,0,467
22950,finished,1,163736,4,22946,22948,43,4,0,0,467
22950,picked,1,14771,6,22950,22955,79,4,0,0,467
22950,executing,1,14771,6,22950,22955,79,5,0,0,546
22950,created,215696,215696,8,22953,22956,57,5,0,0,546
22950,created,192269,192269,2,22951,22953,42,5,0,0,546
22951,created,895368,895368,6,22956,22961,20,5,0,0,546
22951,finished,2,742992,4,22949,22954,96,5,0,0,546
22951,missed,-1,116856,3,22948,22953,68,5,0,0,546
22951,picked,2,392726,5,22953,22956,61,5,1,1,546
22951,executing,2,392726,5,22953,22956,61,8,1,1,607
22955,finished,0,635452,8,22951,22953,79,8,1,1,607
22956,finished,1,14771,6,22950,22955,79,8,1,1,607
22956,finished,2,392726,5,22953,22956,61,8,1,1,607
