time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
22967,created,891691,891691,4,22969,22972,16,0,0,0,0
22967,picked,1,891691,4,22969,22972,16,0,0,0,0
22967,executing,1,891691,4,22969,22972,16,0,0,0,16
22967,created,124226,124226,1,22969,22972,37,0,0,0,16
22967,picked,2,124226,1,22969,22972,37,0,0,0,16
22967,executing,2,124226,1,22969,22972,37,0,0,0,53
22968,created,738302,738302,2,22972,22975,30,0,0,0,53
22968,picked,0,738302,2,22972,22975,30,0,0,0,53
22968,executing,0,738302,2,22972,22975,30,0,0,0,83
22968,created,361632,361632,3,22969,22972,24,0,0,0,83
22968,finished,2,124226,1,22969,22972,37,0,0,0,83
22968,picked,2,361632,3,22969,22972,24,0,0,0,83
22968,executing,2,361632,3,22969,22972,24,0,0,0,107
22969,created,120874,120874,3,22973,22978,68,0,0,0,107
22969,created,900454,900454,4,22971,22973,43,0,0,0,107
22970,created,251713,251713,10,22974,22976,20,0,0,0,107
22970,finished,0,738302,2,22972,22975,30,0,0,0,107
22970,picked,0,120874,3,22973,22978,68,0,0,0,107
22970,executing,0,120874,3,22973,22978,68,1,0,0,175
22970,created,819213,819213,6,22971,22975,27,1,0,0,175
22971,created,430231,430231,2,22972,22974,74,1,0,0,175
22971,finished,1,891691,4,22969,22972,16,1,0,0,175
22971,picked,1,430231,2,22972,22974,74,1,0,0,175
22971,executing,1,430231,2,22972,22974,74,1,0,0,249
22971,created,536261,536261,6,22972,22977,28,1,0,0,249
22971,finished,2,361632,3,22969,22972,24,1,0,0,249
22971,picked,2,900454,4,22971,22973,43,1,0,0,249
22971,executing,2,900454,4,22971,22973,43,3,0,0,292
22972,created,136765,136765,4,22975,22980,96,3,0,0,292
22972,created,948438,948438,3,22973,22978,68,3,0,0,292
22973,finished,0,120874,3,22973,22978,68,3,0,0,292
22973,picked,0,136765,4,22975,22980,96,3,0,0,292
22973,executing,0,136765,4,22975,22980,96,4,0,0,388
22973,created,309528,309528,8,22977,22979,79,4,0,0,388
22973,finished,1,430231,2,22972,22974,74,4,0,0,388
22973,picked,1,309528,8,22977,22979,79,4,0,0,388
22973,executing,1,309528,8,22977,22979,79,4,0,0,467
22973,created,249866,249866,5,22978,22981,61,4,0,0,467
22974,created,585497,585497,7,22978,22983,13,4,0,0,467
22974,created,501707,501707,7,22976,22981,40,4,0,0,467
22975,created,213005,213005,6,22976,22981,79,4,0,0,467
22975,finished,2,900454,4,22971,22973,43,4,0,0,467
22975,picked,2,213005,6,22976,22981,79,4,0,0,467
22975,executing,2,213005,6,22976,22981,79,4,0,0,546
22975,created,876268,876268,8,22978,22981,57,4,0,0,546
22976,created,212035,212035,2,22977,22979,42,4,0,0,546
22976,created,258779,258779,6,22981,22986,20,4,0,0,546
22977,finished,0,136765,4,22975,22980,96,4,0,0,546
22977,missed,-1,948438,3,22973,22978,68,4,0,0,546
22977,picked,0,249866,5,22978,22981,61,4,1,1,546
22977,executing,0,249866,5,22978,22981,61,8,1,1,607
22981,finished,1,309528,8,22977,22979,79,8,1,1,607
22981,missed,-1,876268,8,22978,22981,57,8,1,1,607
22981,missed,-1,501707,7,22976,22981,40,8,2,2,607
22981,missed,-1,536261,6,22972,22977,28,8,3,3,607
22981,missed,-1,819213,6,22971,22975,27,8,4,4,607
22981,picked,1,258779,6,22981,22986,20,8,5,5,607
22981,executing,1,258779,6,22981,22986,20,13,5,5,627
22981,finished,2,213005,6,22976,22981,79,13,5,5,627
22981,missed,-1,212035,2,22977,22979,42,13,5,5,627
22981,missed,-1,251713,10,22974,22976,20,13,6,6,627
22981,missed,-1,585497,7,22978,22983,13,13,7,7,627
22982,finished,0,249866,5,22978,22981,61,13,8,8,627
22987,finished,1,258779,6,22981,22986,20,13,8,8,627
