time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
23013,created,521254,521254,4,23015,23018,16,0,0,0,0
23013,picked,2,521254,4,23015,23018,16,0,0,0,0
23013,executing,2,521254,4,23015,23018,16,0,0,0,16
23013,created,161751,161751,1,23015,23018,37,0,0,0,16
23013,picked,0,161751,1,23015,23018,37,0,0,0,16
23013,executing,0,161751,1,23015,23018,37,0,0,0,53
23014,created,234228,234228,2,23018,23021,30,0,0,0,53
23014,picked,1,234228,2,23018,23021,30,0,0,0,53
23014,executing,1,234228,2,23018,23021,30,0,0,0,83
23014,created,610186,610186,3,23015,23018,24,0,0,0,83
23014,finished,0,161751,1,23015,23018,37,0,0,0,83
23014,picked,0,610186,3,23015,23018,24,0,0,0,83
23014,executing,0,610186,3,23015,23018,24,0,0,0,107
23015,created,174427,174427,3,23019,23024,68,0,0,0,107
23015,created,809572,809572,4,23017,23019,43,0,0,0,107
23016,created,468188,468188,10,23020,23022,20,0,0,0,107
23016,finished,1,234228,2,23018,23021,30,0,0,0,107
23016,picked,1,174427,3,23019,23024,68,0,0,0,107
23016,executing,1,174427,3,23019,23024,68,1,0,0,175
23016,created,145504,145504,6,23017,23021,27,1,0,0,175
23017,created,442498,442498,2,23018,23020,74,1,0,0,175
23017,finished,2,521254,4,23015,23018,16,1,0,0,175
23017,picked,2,442498,2,23018,23020,74,1,0,0,175
23017,executing,2,442498,2,23018,23020,74,1,0,0,249
23017,created,862565,862565,6,23018,23023,28,1,0,0,249
23017,finished,0,610186,3,23015,23018,24,1,0,0,249
23017,picked,0,809572,4,23017,23019,43,1,0,0,249
23017,executing,0,809572,4,23017,23019,43,3,0,0,292
23018,created,576031,576031,4,23021,23026,96,3,0,0,292
23018,created,216376,216376,3,23019,23024,68,3,0,0,292
23019,finished,1,174427,3,23019,23024,68,3,0,0,292
23019,picked,1,576031,4,23021,23026,96,3,0,0,292
23019,executing,1,576031,4,23021,23026,96,4,0,0,388
23019,created,190294,190294,8,23023,23025,79,4,0,0,388
23019,finished,2,442498,2,23018,23020,74,4,0,0,388
23019,picked,2,190294,8,23023,23025,79,4,0,0,388
23019,executing,2,190294,8,23023,23025,79,4,0,0,467
23019,created,711128,711128,5,23024,23027,61,4,0,0,467
23020,created,701261,701261,7,23024,23029,13,4,0,0,467
23020,created,810822,810822,7,23022,23027,40,4,0,0,467
23021,created,532809,532809,6,23022,23027,79,4,0,0,467
23021,finished,0,809572,4,23017,23019,43,4,0,0,467
23021,picked,0,532809,6,23022,23027,79,4,0,0,467
23021,executing,0,532809,6,23022,23027,79,4,0,0,546
23021,created,569143,569143,8,23024,23027,57,4,0,0,546
23022,created,945508,945508,2,23023,23025,42,4,0,0,546
23022,created,650420,650420,6,23027,23032,20,4,0,0,546
23023,finished,1,576031,4,23021,23026,96,4,0,0,546
23023,missed,-1,216376,3,23019,23024,68,4,0,0,546
23023,picked,1,711128,5,23024,23027,61,4,1,1,546
23023,executing,1,711128,5,23024,23027,61,8,1,1,607
23027,finished,2,190294,8,23023,23025,79,8,1,1,607
23027,missed,-1,569143,8,23024,23027,57,8,1,1,607
23027,missed,-1,810822,7,23022,23027,40,8,2,2,607
23027,missed,-1,862565,6,23018,23023,28,8,3,3,607
23027,missed,-1,145504,6,23017,23021,27,8,4,4,607
23027,picked,2,650420,6,23027,23032,20,8,5,5,607
23027,executing,2,650420,6,23027,23032,20,13,5,5,627
23027,finished,0,532809,6,23022,23027,79,13,5,5,627
23028,finished,1,711128,5,23024,23027,61,13,5,5,627
23033,finished,2,650420,6,23027,23032,20,13,5,5,627
