time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
22887,created,936213,936213,4,22889,22892,16,0,0,0,0
22887,picked,2,936213,4,22889,22892,16,0,0,0,0
22887,executing,2,936213,4,22889,22892,16,0,0,0,16
22887,created,982263,982263,1,22889,22892,37,0,0,0,16
22887,picked,1,982263,1,22889,22892,37,0,0,0,16
22887,executing,1,982263,1,22889,22892,37,0,0,0,53
22888,created,265492,265492,2,22892,22895,30,0,0,0,53
22888,picked,0,265492,2,22892,22895,30,0,0,0,53
22888,executing,0,265492,2,22892,22895,30,0,0,0,83
22888,created,177414,177414,3,22889,22892,24,0,0,0,83
22888,finished,1,982263,1,22889,22892,37,0,0,0,83
22888,picked,1,177414,3,22889,22892,24,0,0,0,83
22888,executing,1,177414,3,22889,22892,24,0,0,0,107
22889,created,876948,876948,3,22893,22898,68,0,0,0,107
22889,created,112907,112907,4,22891,22893,43,0,0,0,107
22890,finished,0,265492,2,22892,22895,30,0,0,0,107
22890,picked,0,876948,3,22893,22898,68,0,0,0,107
22890,executing,0,876948,3,22893,22898,68,1,0,0,175
22890,created,818566,818566,5,22893,22897,25,1,0,0,175
22890,created,243579,243579,6,22891,22895,27,1,0,0,175
22891,created,20705,20705,2,22892,22894,74,1,0,0,175
22891,finished,2,936213,4,22889,22892,16,1,0,0,175
22891,picked,2,20705,2,22892,22894,74,1,0,0,175
22891,executing,2,20705,2,22892,22894,74,1,0,0,249
22891,finished,1,177414,3,22889,22892,24,1,0,0,249
22891,picked,1,112907,4,22891,22893,43,1,0,0,249
22891,executing,1,112907,4,22891,22893,43,3,0,0,292
22891,created,897468,897468,6,22892,22897,28,3,0,0,292
22892,created,750700,750700,4,22895,22900,96,3,0,0,292
22892,created,964648,964648,3,22893,22898,68,3,0,0,292
22893,finished,0,876948,3,22893,22898,68,3,0,0,292
22893,picked,0,750700,4,22895,22900,96,3,0,0,292
22893,executing,0,750700,4,22895,22900,96,4,0,0,388
22893,created,254883,254883,8,22897,22899,79,4,0,0,388
22893,finished,2,20705,2,22892,22894,74,4,0,0,388
22893,picked,2,254883,8,22897,22899,79,4,0,0,388
22893,executing,2,254883,8,22897,22899,79,4,0,0,467
22893,created,693010,693010,5,22898,22901,61,4,0,0,467
22894,created,130202,130202,7,22898,22903,13,4,0,0,467
22894,created,687673,687673,7,22896,22901,40,4,0,0,467
22895,created,725657,725657,6,22896,22901,79,4,0,0,467
22895,finished,1,112907,4,22891,22893,43,4,0,0,467
22895,picked,1,725657,6,22896,22901,79,4,0,0,467
22895,executing,1,725657,6,22896,22901,79,4,0,0,546
22895,created,704408,704408,8,22898,22901,57,4,0,0,546
22896,created,32581,32581,2,22897,22899,42,4,0,0,546
22896,created,691855,691855,6,22901,22906,20,4,0,0,546
22897,finished,0,750700,4,22895,22900,96,4,0,0,546
22897,missed,-1,964648,3,22893,22898,68,4,0,0,546
22897,picked,0,693010,5,22898,22901,61,4,1,1,546
22897,executing,0,693010,5,22898,22901,61,8,1,1,607
22901,finished,2,254883,8,22897,22899,79,8,1,1,607
22901,missed,-1,704408,8,22898,22901,57,8,1,1,607
22901,missed,-1,687673,7,22896,22901,40,8,2,2,607
22901,missed,-1,897468,6,22892,22897,28,8,3,3,607
22901,missed,-1,243579,6,22891,22895,27,8,4,4,607
22901,missed,-1,818566,5,22893,22897,25,8,5,5,607
22901,missed,-1,32581,2,22897,22899,42,8,6,6,607
22901,picked,2,691855,6,22901,22906,20,8,7,7,607
22901,executing,2,691855,6,22901,22906,20,13,7,7,627
22901,finished,1,725657,6,22896,22901,79,13,7,7,627
22901,missed,-1,130202,7,22898,22903,13,13,7,7,627
22902,finished,0,693010,5,22898,22901,61,13,8,8,627
22907,finished,2,691855,6,22901,22906,20,13,8,8,627
