time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
23096,created,17284,17284,4,23098,23101,16,0,0,0,0
23096,picked,0,17284,4,23098,23101,16,0,0,0,0
23096,executing,0,17284,4,23098,23101,16,0,0,0,16
23097,created,259842,259842,1,23099,23102,37,0,0,0,16
23097,picked,1,259842,1,23099,23102,37,0,0,0,16
23097,executing,1,259842,1,23099,23102,37,0,0,0,53
23097,created,637468,637468,2,23101,23104,30,0,0,0,53
23097,picked,2,637468,2,23101,23104,30,0,0,0,53
23097,executing,2,637468,2,23101,23104,30,0,0,0,83
23098,created,18202,18202,3,23099,23102,24,0,0,0,83
23098,finished,1,259842,1,23099,23102,37,0,0,0,83
23098,picked,1,18202,3,23099,23102,24,0,0,0,83
23098,executing,1,18202,3,23099,23102,24,0,0,0,107
23098,created,264592,264592,3,23102,23107,68,0,0,0,107
23099,created,961502,961502,4,23101,23103,43,0,0,0,107
23099,created,795116,795116,10,23103,23105,20,0,0,0,107
23099,finished,2,637468,2,23101,23104,30,0,0,0,107
23099,picked,2,264592,3,23102,23107,68,0,0,0,107
23099,executing,2,264592,3,23102,23107,68,1,0,0,175
23100,created,737311,737311,6,23101,23105,27,1,0,0,175
23100,finished,0,17284,4,23098,23101,16,1,0,0,175
23100,picked,0,961502,4,23101,23103,43,1,0,0,175
23100,executing,0,961502,4,23101,23103,43,2,0,0,218
23100,created,941766,941766,3,23101,23103,82,2,0,0,218
23101,created,741732,741732,6,23102,23107,28,2,0,0,218
23101,finished,1,18202,3,23099,23102,24,2,0,0,218
23101,picked,1,941766,3,23101,23103,82,2,0,0,218
23101,executing,1,941766,3,23101,23103,82,3,0,0,300
23101,created,846544,846544,4,23104,23109,96,3,0,0,300
23102,created,453755,453755,3,23103,23108,68,3,0,0,300
23102,finished,2,264592,3,23102,23107,68,3,0,0,300
23102,picked,2,846544,4,23104,23109,96,3,0,0,300
23102,executing,2,846544,4,23104,23109,96,4,0,0,396
23102,created,269292,269292,8,23106,23108,79,4,0,0,396
23103,created,98798,98798,9,23108,23112,52,4,0,0,396
23103,created,438510,438510,5,23108,23111,61,4,0,0,396
23104,finished,1,941766,3,23101,23103,82,4,0,0,396
23104,picked,1,269292,8,23106,23108,79,4,0,0,396
23104,executing,1,269292,8,23106,23108,79,6,0,0,475
23104,created,114350,114350,7,23106,23111,40,6,0,0,475
23104,finished,0,961502,4,23101,23103,43,6,0,0,475
23104,missed,-1,453755,3,23103,23108,68,6,0,0,475
23104,picked,0,438510,5,23108,23111,61,6,1,1,475
23104,executing,0,438510,5,23108,23111,61,7,1,1,536
23104,created,90347,90347,8,23106,23109,3,7,1,1,536
23105,created,634640,634640,8,23108,23111,57,7,1,1,536
23105,created,794453,794453,2,23106,23108,42,7,1,1,536
23106,created,23991,23991,6,23111,23116,20,7,1,1,536
23106,finished,2,846544,4,23104,23109,96,7,1,1,536
23106,picked,2,634640,8,23108,23111,57,7,1,1,536
23106,executing,2,634640,8,23108,23111,57,8,1,1,593
23109,finished,0,438510,5,23108,23111,61,8,1,1,593
23112,finished,1,269292,8,23106,23108,79,8,1,1,593
23114,finished,2,634640,8,23108,23111,57,8,1,1,593
