time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
22992,created,261952,261952,4,22994,22997,16,0,0,0,0
22992,picked,0,261952,4,22994,22997,16,0,0,0,0
22992,executing,0,261952,4,22994,22997,16,0,0,0,16
22993,created,408120,408120,1,22995,22998,37,0,0,0,16
22993,picked,1,408120,1,22995,22998,37,0,0,0,16
22993,executing,1,408120,1,22995,22998,37,0,0,0,53
22993,created,431014,431014,2,22997,23000,30,0,0,0,53
22993,picked,2,431014,2,22997,23000,30,0,0,0,53
22993,executing,2,431014,2,22997,23000,30,0,0,0,83
22994,created,977491,977491,3,22995,22998,24,0,0,0,83
22994,finished,1,408120,1,22995,22998,37,0,0,0,83
22994,picked,1,977491,3,22995,22998,24,0,0,0,83
22994,executing,1,977491,3,22995,22998,24,0,0,0,107
22994,created,878623,878623,3,22998,23003,68,0,0,0,107
22995,created,251253,251253,4,22997,22999,43,0,0,0,107
22995,created,38448,38448,10,22999,23001,20,0,0,0,107
22995,finished,2,431014,2,22997,23000,30,0,0,0,107
22995,picked,2,878623,3,22998,23003,68,0,0,0,107
22995,executing,2,878623,3,22998,23003,68,1,0,0,175
22996,created,633106,633106,6,22997,23001,27,1,0,0,175
22996,created,34274,34274,2,22997,22999,74,1,0,0,175
22996,finished,0,261952,4,22994,22997,16,1,0,0,175
22996,picked,0,34274,2,22997,22999,74,1,0,0,175
22996,executing,0,34274,2,22997,22999,74,1,0,0,249
22997,created,616835,616835,6,22998,23003,28,1,0,0,249
22997,finished,1,977491,3,22995,22998,24,1,0,0,249
22997,picked,1,251253,4,22997,22999,43,1,0,0,249
22997,executing,1,251253,4,22997,22999,43,3,0,0,292
22997,created,550361,550361,4,23000,23005,96,3,0,0,292
22998,created,949562,949562,3,22999,23004,68,3,0,0,292
22998,finished,2,878623,3,22998,23003,68,3,0,0,292
22998,picked,2,550361,4,23000,23005,96,3,0,0,292
22998,executing,2,550361,4,23000,23005,96,4,0,0,388
22998,created,561528,561528,8,23002,23004,79,4,0,0,388
22998,finished,0,34274,2,22997,22999,74,4,0,0,388
22998,picked,0,561528,8,23002,23004,79,4,0,0,388
22998,executing,0,561528,8,23002,23004,79,4,0,0,467
22999,created,670451,670451,5,23004,23007,61,4,0,0,467
22999,created,904448,904448,7,23003,23008,13,4,0,0,467
23000,created,801673,801673,7,23002,23007,40,4,0,0,467
23000,created,118905,118905,6,23001,23006,79,4,0,0,467
23001,finished,1,251253,4,22997,22999,43,4,0,0,467
23001,picked,1,118905,6,23001,23006,79,4,0,0,467
23001,executing,1,118905,6,23001,23006,79,5,0,0,546
23001,created,279968,279968,8,23004,23007,57,5,0,0,546
23001,created,4836,4836,2,23002,23004,42,5,0,0,546
23002,created,445427,445427,6,23007,23012,20,5,0,0,546
23002,finished,2,550361,4,23000,23005,96,5,0,0,546
23002,missed,-1,949562,3,22999,23004,68,5,0,0,546
23002,picked,2,670451,5,23004,23007,61,5,1,1,546
23002,executing,2,670451,5,23004,23007,61,8,1,1,607
23006,finished,0,561528,8,23002,23004,79,8,1,1,607
23007,finished,1,118905,6,23001,23006,79,8,1,1,607
23007,finished,2,670451,5,23004,23007,61,8,1,1,607
