time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
23039,created,630742,630742,4,23041,23044,16,0,0,0,0
23039,picked,0,630742,4,23041,23044,16,0,0,0,0
23039,executing,0,630742,4,23041,23044,16,0,0,0,16
23040,created,275532,275532,1,23042,23045,37,0,0,0,16
23040,picked,2,275532,1,23042,23045,37,0,0,0,16
23040,executing,2,275532,1,23042,23045,37,0,0,0,53
23040,created,371259,371259,2,23044,23047,30,0,0,0,53
23040,picked,1,371259,2,23044,23047,30,0,0,0,53
23040,executing,1,371259,2,23044,23047,30,0,0,0,83
23041,created,161113,161113,3,23042,23045,24,0,0,0,83
23041,finished,2,275532,1,23042,23045,37,0,0,0,83
23041,picked,2,161113,3,23042,23045,24,0,0,0,83
23041,executing,2,161113,3,23042,23045,24,0,0,0,107
23041,created,596482,596482,3,23045,23050,68,0,0,0,107
23042,created,611799,611799,4,23044,23046,43,0,0,0,107
23042,created,313847,313847,10,23046,23048,20,0,0,0,107
23042,finished,1,371259,2,23044,23047,30,0,0,0,107
23042,picked,1,596482,3,23045,23050,68,0,0,0,107
23042,executing,1,596482,3,23045,23050,68,1,0,0,175
23043,created,42201,42201,6,23044,23048,27,1,0,0,175
23043,created,354138,354138,2,23044,23046,74,1,0,0,175
23043,finished,0,630742,4,23041,23044,16,1,0,0,175
23043,picked,0,354138,2,23044,23046,74,1,0,0,175
23043,executing,0,354138,2,23044,23046,74,1,0,0,249
23044,created,512263,512263,6,23045,23050,28,1,0,0,249
23044,finished,2,161113,3,23042,23045,24,1,0,0,249
23044,picked,2,611799,4,23044,23046,43,1,0,0,249
23044,executing,2,611799,4,23044,23046,43,3,0,0,292
23044,created,13606,13606,4,23047,23052,96,3,0,0,292
23045,created,116741,116741,3,23046,23051,68,3,0,0,292
23045,finished,1,596482,3,23045,23050,68,3,0,0,292
23045,picked,1,13606,4,23047,23052,96,3,0,0,292
23045,executing,1,13606,4,23047,23052,96,4,0,0,388
23045,created,414862,414862,8,23049,23051,79,4,0,0,388
23045,finished,0,354138,2,23044,23046,74,4,0,0,388
23045,picked,0,414862,8,23049,23051,79,4,0,0,388
23045,executing,0,414862,8,23049,23051,79,4,0,0,467
23046,created,911999,911999,5,23051,23054,61,4,0,0,467
23046,created,568365,568365,7,23050,23055,13,4,0,0,467
23047,created,962816,962816,7,23049,23054,40,4,0,0,467
23047,created,910765,910765,6,23048,23053,79,4,0,0,467
23048,finished,2,611799,4,23044,23046,43,4,0,0,467
23048,picked,2,910765,6,23048,23053,79,4,0,0,467
23048,executing,2,910765,6,23048,23053,79,5,0,0,546
23048,created,222578,222578,8,23051,23054,57,5,0,0,546
23048,created,960071,960071,2,23049,23051,42,5,0,0,546
23049,created,282752,282752,6,23054,23059,20,5,0,0,546
23049,finished,1,13606,4,23047,23052,96,5,0,0,546
23049,missed,-1,116741,3,23046,23051,68,5,0,0,546
23049,picked,1,911999,5,23051,23054,61,5,1,1,546
23049,executing,1,911999,5,23051,23054,61,8,1,1,607
23053,finished,0,414862,8,23049,23051,79,8,1,1,607
23054,finished,2,910765,6,23048,23053,79,8,1,1,607
23054,missed,-1,222578,8,23051,23054,57,8,1,1,607
23054,missed,-1,962816,7,23049,23054,40,8,2,2,607
23054,missed,-1,512263,6,23045,23050,28,8,3,3,607
23054,missed,-1,42201,6,23044,23048,27,8,4,4,607
23054,picked,2,282752,6,23054,23059,20,8,5,5,607
23054,executing,2,282752,6,23054,23059,20,13,5,5,627
23054,finished,1,911999,5,23051,23054,61,13,5,5,627
23060,finished,2,282752,6,23054,23059,20,13,5,5,627
